date,gender,age,has_worked,hours_studied,wakeup_time,bed_time,n_coffein,screen_time,has_meat,exercise_hours,water,social_hours,newspaper_time,fatigue_score,democracy_score,happiness_score
2021-03-02,male,36,1,0,9:00,3:00,4,13,1,0,1,2,1,3,5,5
2021-03-03,male,36,1,2.5,8:50,2:30,4,12,1,0,1,3,1,4,5,6
2021-03-04,male,36,1,3,8:30,3:30,4,13,1,0,1,2,1,4,5,5
2021-03-05,male,36,1,0,8:30,0:00,4,7,1,1,"1,5",12,"0,5",5,5,6
2021-03-06,male,36,0,0,6:30,0:30,4,4,1,1,1,14,0,6,5,6
2021-03-07,male,36,0,1,9:00,4:00,5,9,1,"0,5",1,8,1,6,5,5
2021-03-08,male,36,1,3,8:50,1:30,6,13,1,0,2,2,1,6,5,5
2021-03-09,male,36,1,0,8:50,1:30,4,12,1,0,1,4,1,5,5,5
2021-03-10,male,36,1,0,9:00,1:00,4,13,1,0,2,4,"0,5",5,5,5
2021-03-11,male,36,1,0,9:00,1:30,4,13,1,0,1,3,1,5,5,5
2021-03-12,male,36,1,0,9:50,4:00,4,10,1,0,2,8,2,5,5,5
2021-03-13,male,36,0,0,10:00,4:30,6,10,1,1,"0,5",14,0,5,5,6
2021-03-14,male,36,1,0,10:30,2:45,4,10,0,0,2,8,0,4,5,4
